user_id,age_group,gender,preference_taste,member_level,registration_date
U001,25-30,M,辣味,Gold,2022-05-15
U002,31-35,F,清淡,Silver,2022-06-20
U003,18-24,M,甜味,Bronze,2023-01-10
U004,36-40,F,辣味,Gold,2021-08-05
U005,25-30,M,咸鲜,Platinum,2020-12-01
U006,41-45,F,清淡,Silver,2022-03-18
U007,18-24,M,辣味,Bronze,2023-02-14
U008,31-35,F,甜味,Gold,2021-11-22
U009,25-30,M,咸鲜,Silver,2022-07-30
U010,36-40,F,辣味,Platinum,2020-09-15
U011,18-24,M,清淡,Bronze,2023-03-25
U012,41-45,F,甜味,Gold,2021-10-08
U013,25-30,M,辣味,Silver,2022-04-12
U014,31-35,F,咸鲜,Platinum,2020-11-28
U015,18-24,M,清淡,Bronze,2023-04-05
U016,36-40,F,辣味,Gold,2021-07-19
U017,25-30,M,甜味,Silver,2022-08-23
U018,41-45,F,咸鲜,Platinum,2020-10-11
U019,18-24,M,辣味,Bronze,2023-05-17
U020,31-35,F,清淡,Gold,2021-12-03

